1050;1074;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
787.5;811.5;0;1032.5;1105.5;0;1200;1200;1200;1200;1200;1200;0
525.0;549.0;0;770.0;843.0;0;1032.5;1056.5;0;1200;1200;1200;0
262.5;286.5;0;507.5;580.5;0;770.0;794.0;0;1050;1123;0;0
0.0;24.0;0;245.0;318.0;0;507.5;531.5;0;787.5;860.5;0;1
87.5;111.5;0;332.5;405.5;0;595.0;619.0;0;875.0;948.0;0;1
-17.5;55.5;0;245.0;269.0;0;525.0;598.0;0;735.0;808.0;0;5
1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
840.0;913.0;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
577.5;650.5;0;822.5;895.5;0;1032.5;1105.5;0;1200;1200;1200;0
315.0;388.0;0;560.0;633.0;0;770.0;843.0;0;997.5;1070.5;0;0
52.5;125.5;0;297.5;370.5;0;507.5;580.5;0;735.0;808.0;0;5
87.5;160.5;0;332.5;405.5;0;542.5;615.5;0;770.0;843.0;0;5
35.0;108.0;0;245.0;318.0;0;472.5;545.5;0;822.5;846.5;0;5
105.0;178.0;0;315.0;388.0;0;542.5;615.5;0;892.5;916.5;0;5
-17.5;55.5;0;210.0;283.0;0;560.0;584.0;0;770.0;812.0;75;5
70.0;143.0;0;297.5;370.5;0;647.5;671.5;0;857.5;899.5;75;5
297.5;321.5;0;507.5;549.5;75;752.5;776.5;0;962.5;1035.5;0;5
70.0;143.0;0;420.0;444.0;0;630.0;672.0;75;875.0;899.0;0;5
35.0;59.0;0;245.0;287.0;75;490.0;514.0;0;700.0;773.0;0;1
87.5;111.5;0;297.5;339.5;75;542.5;566.5;0;752.5;825.5;0;1
-17.5;24.5;75;227.5;251.5;0;437.5;510.5;0;647.5;720.5;0;0
87.5;111.5;0;297.5;370.5;0;507.5;580.5;0;735.0;808.0;0;1
-35.0;-11.0;0;175.0;248.0;0;385.0;458.0;0;612.5;685.5;0;0
122.5;195.5;0;350.0;423.0;0;560.0;602.0;75;892.5;916.5;0;5
87.5;160.5;0;297.5;370.5;0;525.0;598.0;0;735.0;777.0;75;5
87.5;160.5;0;315.0;388.0;0;525.0;567.0;75;857.5;881.5;0;5
87.5;160.5;0;297.5;339.5;75;630.0;654.0;0;875.0;948.0;0;0
70.0;143.0;0;280.0;322.0;75;612.5;636.5;0;857.5;930.5;0;5
35.0;77.0;75;367.5;391.5;0;612.5;685.5;0;945.0;1018.0;0;0
105.0;129.0;0;350.0;423.0;0;682.5;755.5;0;1200;1200;1200;0
87.5;111.5;0;332.5;405.5;0;665.0;738.0;0;1050;1074;0;1
87.5;160.5;0;420.0;493.0;0;805.0;829.0;0;1032.5;1056.5;0;5
105.0;178.0;0;437.5;510.5;0;822.5;846.5;0;1050;1074;0;5
157.5;230.5;0;542.5;566.5;0;770.0;794.0;0;980.0;1004.0;0;0
87.5;160.5;0;472.5;496.5;0;700.0;724.0;0;910.0;934.0;0;5
280.0;304.0;0;507.5;531.5;0;717.5;741.5;0;945.0;969.0;0;0
17.5;41.5;0;245.0;269.0;0;455.0;479.0;0;682.5;706.5;0;1
1032.5;1105.5;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
770.0;843.0;0;980.0;1004.0;0;1200;1200;1200;1200;1200;1200;0
507.5;580.5;0;717.5;741.5;0;927.5;951.5;0;1200;1200;1200;0
997.5;1070.5;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
735.0;808.0;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
472.5;545.5;0;875.0;948.0;0;1200;1200;1200;1200;1200;1200;0
1015.0;1088.0;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
752.5;825.5;0;1015.0;1039.0;0;1200;1200;1200;1200;1200;1200;0
490.0;563.0;0;752.5;776.5;0;1015.0;1039.0;0;1200;1200;1200;0
1015.0;1039.0;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;0
752.5;776.5;0;1032.5;1105.5;0;1200;1200;1200;1200;1200;1200;0
490.0;514.0;0;770.0;843.0;0;980.0;1053.0;0;1200;1200;1200;0
